serial_no,bid_no,S.No.,Seller Name,Offered Item,Total Price,Rank,Status,Winner
175,GEM/2025/B/6532676,1,"Biosci Health care (MSE,MII) ( MSE Social Category:General ) Under PMA",Item Categories : HCV Rapid Test Kits,` 53550.00,L1,Disqualified,
175,GEM/2025/B/6532676,2,NIRVAHANA VENTURES LLP Under PMA,Item Categories : HCV Rapid Test Kits,` 53550.00,L1,Disqualified,
175,GEM/2025/B/6532676,3,SMART HEALTHSURE PRIVATE LIMITED Under PMA,Item Categories : HCV Rapid Test Kits,` 63750.00,L2,Disqualified,
175,GEM/2025/B/6532676,4,M/S MEDIWAYS ENTERPRISES Under PMA,Item Categories : HCV Rapid Test Kits,` 64260.00,L3,Disqualified,
175,GEM/2025/B/6532676,5,GLOBAL DIAGNOSTICS Under PMA,Item Categories : HCV Rapid Test Kits,` 67728.00,L4,Disqualified,
175,GEM/2025/B/6532676,6,AKSHAR MARKETING Under PMA,Item Categories : HCV Rapid Test Kits,` 68850.00,L5,Disqualified,
175,GEM/2025/B/6532676,7,CAREWELL INDIA Under PMA,Item Categories : HCV Rapid Test Kits,` 244800.00,L6,Qualified,
171,GEM/2025/B/6665067,1,LABGENE BIO-TECH PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,Item Categories : HBsAg Rapid Test Kits,` 19687.50,L1,,
171,GEM/2025/B/6665067,2,DYGNOVA HEALTHCARE PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,Item Categories : HBsAg Rapid Test Kits,` 23625.00,L2,,
171,GEM/2025/B/6665067,3,VIMEK BIOCONCEPT PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,Item Categories : HBsAg Rapid Test Kits,` 35625.00,L3,,
171,GEM/2025/B/6665067,4,Biosci Health care ( MSE Social Category:General ) Under PMA,Item Categories : HBsAg Rapid Test Kits,` 71250.00,L4,,
171,GEM/2025/B/6665067,,,,,,,
177,GEM/2025/B/6554445,1,Poorvi Diagnostics Under PMA,Item Categories : Rapid Plasma Reagin (RPR) Test Kit for Syphilis (V2),` 8600.00,L1,,
177,GEM/2025/B/6554445,2,JYOTI TRADERS Under PMA,Item Categories : Rapid Plasma Reagin (RPR) Test Kit for Syphilis (V2),` 11200.00,L2,,
177,GEM/2025/B/6554445,3,ROYAL BIOTECH Under PMA,Item Categories : Rapid Plasma Reagin (RPR) Test Kit for Syphilis (V2),` 11850.00,L3,,
177,GEM/2025/B/6554445,4,OM MEDITECH Under PMA,Item Categories : Rapid Plasma Reagin (RPR) Test Kit for Syphilis (V2),` 19300.00,L4,,
177,GEM/2025/B/6554445,,,,,,,
174,GEM/2025/B/6608264,1,NIRVAHANA VENTURES LLP Under PMA,Item Categories : HIV Rapid Test Kits,` 56700.00,L1,Disqualified,
174,GEM/2025/B/6608264,2,CAREWELL INDIA Under PMA,Item Categories : HIV Rapid Test Kits,` 259200.00,L2,Qualified,
176,GEM/2025/B/6602917,1,SUNIL PHARMACY ( MSE Social Category:General ) Under PMA,"Item Categories : Hematology Reagent,Hematology Reagent,Micro Cover glass,Microscope Slide,Glucose Biochemistry Reage",` 255925.00,L1,Disqualified,
176,GEM/2025/B/6602917,2,ADVAYA VENTURES (MII) ( MSE Social Category:OBC ) Under PMA,"Item Categories : Hematology Reagent,Hematology Reagent,Micro Cover glass,Microscope Slide,Glucose Biochemistry Reage",` 629921.99,L2,Qualified,
